week_48,label,sci,ebird_score,in_ebird
2,Egretta garzetta_Little Egret,Egretta garzetta,0.6639,True
2,Tachybaptus ruficollis_Little Grebe,Tachybaptus ruficollis,0.6473,True
2,Thinornis dubius_Little Ringed Plover,Thinornis dubius,0.0,False
2,Limnodromus scolopaceus_Long-billed Dowitcher,Limnodromus scolopaceus,0.0012,True
2,Aegithalos caudatus_Long-tailed Tit,Aegithalos caudatus,0.6831,True
2,Anas platyrhynchos_Mallard,Anas platyrhynchos,0.8568,True
2,Aix galericulata_Mandarin Duck,Aix galericulata,0.4038,True
2,Tringa stagnatilis_Marsh Sandpiper,Tringa stagnatilis,0.2237,True
2,Emberiza cioides_Meadow Bunting,Emberiza cioides,0.5603,True
2,Falco columbarius_Merlin,Falco columbarius,0.3865,True
2,Cygnus olor_Mute Swan,Cygnus olor,0.3797,True
2,Ficedula narcissina_Narcissus Flycatcher,Ficedula narcissina,0.0615,True
2,Ninox japonica_Northern Boobook,Ninox japonica,0.2167,True
2,Vanellus vanellus_Northern Lapwing,Vanellus vanellus,0.5672,True
2,Anas acuta_Northern Pintail,Anas acuta,0.6476,True
2,Corvus corax_Northern Raven,Corvus corax,0.0006,True
2,Spatula clypeata_Northern Shoveler,Spatula clypeata,0.565,True
2,Anthus hodgsoni_Olive-backed Pipit,Anthus hodgsoni,0.5188,True
2,Chloris sinica_Oriental Greenfinch,Chloris sinica,0.7068,True
2,Pernis ptilorhynchus_Oriental Honey-buzzard,Pernis ptilorhynchus,0.0543,True
2,Acrocephalus orientalis_Oriental Reed Warbler,Acrocephalus orientalis,0.0242,True
2,Streptopelia orientalis_Oriental Turtle-Dove,Streptopelia orientalis,0.9793,True
2,Pandion haliaetus_Osprey,Pandion haliaetus,0.6318,True
2,Pluvialis fulva_Pacific Golden-Plover,Pluvialis fulva,0.2124,True
2,Turdus pallidus_Pale Thrush,Turdus pallidus,0.7468,True
2,Stercorarius parasiticus_Parasitic Jaeger,Stercorarius parasiticus,0.0863,True
2,Falco peregrinus_Peregrine Falcon,Falco peregrinus,0.3701,True
2,Recurvirostra avosetta_Pied Avocet,Recurvirostra avosetta,0.0581,True
2,Spodiopsar sericeus_Red-billed Starling,Spodiopsar sericeus,0.3968,True
2,Ficedula parva_Red-breasted Flycatcher,Ficedula parva,0.0,True
2,Mergus serrator_Red-breasted Merganser,Mergus serrator,0.451,True
2,Tarsiger cyanurus_Red-flanked Bluetail,Tarsiger cyanurus,0.5231,True
2,Calidris ruficollis_Red-necked Stint,Calidris ruficollis,0.1433,True
2,Anthus cervinus_Red-throated Pipit,Anthus cervinus,0.3723,True
2,Gallus gallus_Red Junglefowl,Gallus gallus,0.0,True
2,Calidris canutus_Red Knot,Calidris canutus,0.0966,True
2,Emberiza schoeniclus_Reed Bunting,Emberiza schoeniclus,0.4282,True
2,Anthus richardi_Richard's Pipit,Anthus richardi,0.2751,True
2,Columba livia_Rock Pigeon,Columba livia,0.2372,True
2,Corvus frugilegus_Rook,Corvus frugilegus,0.5692,True
2,Calidris pugnax_Ruff,Calidris pugnax,0.2694,True
2,Passer cinnamomeus_Russet Sparrow,Passer cinnamomeus,0.4322,True
2,Emberiza rustica_Rustic Bunting,Emberiza rustica,0.4764,True
2,Pericrocotus tegimae_Ryukyu Minivet,Pericrocotus tegimae,0.438,True
2,Calidris alba_Sanderling,Calidris alba,0.3557,True
2,Antigone canadensis_Sandhill Crane,Antigone canadensis,0.1894,True
2,Asio flammeus_Short-eared Owl,Asio flammeus,0.3543,True
2,Leucogeranus leucogeranus_Siberian Crane,Leucogeranus leucogeranus,0.0095,True
2,Nucifraga caryocatactes_Spotted Nutcracker,Nucifraga caryocatactes,0.2603,True
2,Tringa erythropus_Spotted Redshank,Tringa erythropus,0.1594,True
2,Anser cygnoides_Swan Goose,Anser cygnoides,0.0291,True
2,Xenus cinereus_Terek Sandpiper,Xenus cinereus,0.1156,True
2,Aythya fuligula_Tufted Duck,Aythya fuligula,0.5967,True
2,Cygnus columbianus_Tundra Swan,Cygnus columbianus,0.421,True
2,Strix uralensis_Ural Owl,Strix uralensis,0.4222,True
2,Sittiparus varius_Varied Tit,Sittiparus varius,0.692,True
2,Larus vegae_Vega Gull,Larus vegae,0.0,False
2,Zosterops japonicus_Warbling White-eye,Zosterops japonicus,0.7352,True
2,Coloeus monedula_Western Jackdaw,Coloeus monedula,0.0,False
2,Spodiopsar cineraceus_White-cheeked Starling,Spodiopsar cineraceus,0.5283,True
2,Antigone vipio_White-naped Crane,Antigone vipio,0.5885,True
2,Motacilla alba_White Wagtail,Motacilla alba,0.9275,True
2,Cygnus cygnus_Whooper Swan,Cygnus cygnus,0.456,True
2,Tringa glareola_Wood Sandpiper,Tringa glareola,0.1856,True
2,Periparus venustulus_Yellow-bellied Tit,Periparus venustulus,0.0581,True
2,Emberiza elegans_Yellow-throated Bunting,Emberiza elegans,0.6812,True
